variable,edu_a,edu_b,n_a,n_b,u_stat,p_value,p_bonf,significant_bonf,rank_biserial_r
iat_20,8.0,25.0,48,9,371.0,0.0004963122012437678,0.007444683018656517,True,-0.7175925925925926
iat_20,13.0,18.0,58,38,1156.5,0.6797766901664394,1.0,False,-0.049455535390199534
iat_20,13.0,22.0,58,29,1302.0,1.9240776439743668e-05,0.000288611646596155,True,-0.5481569560047563
iat_20,13.0,25.0,58,9,411.0,0.005008634653483729,0.07512951980225593,False,-0.5747126436781609
iat_20,18.0,22.0,38,29,841.0,0.00015067501964235135,0.00226012529463527,True,-0.5263157894736843
iat_20,18.0,25.0,38,9,263.0,0.0118171198483689,0.17725679772553352,False,-0.5380116959064327
iat_20,22.0,25.0,29,9,116.0,0.5889976896969171,1.0,False,0.11111111111111116
iat_7,5.0,8.0,39,48,566.5,0.0011014157385894055,0.01652123607884108,True,0.3947649572649573
iat_7,5.0,13.0,39,58,952.5,0.18175103677701543,1.0,False,0.15782493368700268
iat_7,5.0,18.0,39,38,612.0,0.1800010123129322,1.0,False,0.1740890688259109
iat_7,5.0,22.0,39,29,771.0,0.008582134122039564,0.12873201183059346,False,-0.363395225464191
iat_7,5.0,25.0,39,9,246.0,0.05587704074807829,0.8381556112211743,False,-0.4017094017094016
iat_7,8.0,13.0,48,58,1757.5,0.01771252721557124,0.2656879082335686,False,-0.26257183908045967
iat_7,8.0,18.0,48,38,1139.0,0.042857259600790634,0.6428588940118595,False,-0.2489035087719298
iat_7,8.0,22.0,48,29,1192.5,1.0438821442095317e-07,1.5658232163142976e-06,True,-0.7133620689655173
iat_7,8.0,25.0,48,9,381.0,0.0002001813808814534,0.003002720713221801,True,-0.7638888888888888
iat_7,13.0,18.0,58,38,1084.0,0.8935783166965803,1.0,False,0.016333938294010864
iat_7,13.0,22.0,58,29,1225.0,0.0003928515731890836,0.005892773597836254,True,-0.4565992865636148
iat_7,13.0,25.0,58,9,384.5,0.02087119621061345,0.3130679431592017,False,-0.4731800766283525
iat_7,18.0,22.0,38,29,835.0,0.0002432204198143916,0.003648306297215874,True,-0.515426497277677
iat_7,18.0,25.0,38,9,267.0,0.00879048679269512,0.1318573018904268,False,-0.5614035087719298
iat_7,22.0,25.0,29,9,128.0,0.9412891955010557,1.0,False,0.019157088122605415
iat_19,5.0,8.0,39,48,646.5,0.010561024460242116,0.15841536690363173,False,0.3092948717948718
iat_19,5.0,13.0,39,58,927.0,0.12697624400595758,1.0,False,0.18037135278514593
iat_19,5.0,18.0,39,38,655.5,0.3777516105671699,1.0,False,0.11538461538461542
iat_19,5.0,22.0,39,29,858.5,0.00020099443381678715,0.0030149165072518073,True,-0.5181255526083113
iat_19,5.0,25.0,39,9,282.5,0.003805079723299639,0.05707619584949459,False,-0.6096866096866096
iat_19,8.0,13.0,48,58,1522.0,0.3986588591216981,1.0,False,-0.09339080459770122
iat_19,8.0,18.0,48,38,1055.0,0.2047486208656112,1.0,False,-0.1567982456140351
iat_19,8.0,22.0,48,29,1172.5,3.352780260459387e-07,5.02917039068908e-06,True,-0.6846264367816093
iat_19,8.0,25.0,48,9,381.5,0.0002095531364052222,0.003143297046078333,True,-0.7662037037037037
iat_19,13.0,18.0,58,38,1149.0,0.7179747451475076,1.0,False,-0.042649727767695156
iat_19,13.0,22.0,58,29,1294.5,2.3164777603002995e-05,0.00034747166404504494,True,-0.5392390011890607
iat_19,13.0,25.0,58,9,403.0,0.006930156337416081,0.10395234506124121,False,-0.5440613026819923
iat_19,18.0,22.0,38,29,847.5,0.00012302029564196425,0.0018453044346294638,True,-0.5381125226860255
iat_19,18.0,25.0,38,9,266.5,0.009049226934761848,0.13573840402142773,False,-0.5584795321637428
iat_19,22.0,25.0,29,9,110.0,0.466763530200096,1.0,False,0.15708812260536398
iat_15,5.0,8.0,39,48,578.5,0.0016900716212125987,0.02535107431818898,True,0.3819444444444444
iat_15,5.0,13.0,39,58,994.5,0.3087345059476081,1.0,False,0.12068965517241381
iat_15,5.0,18.0,39,38,697.5,0.6541072041078706,1.0,False,0.0587044534412956
iat_15,5.0,22.0,39,29,806.5,0.0022319007407379248,0.03347851111106887,True,-0.4261715296198054
iat_15,5.0,25.0,39,9,272.0,0.009205883321477032,0.13808824982215548,False,-0.5498575498575498
iat_15,8.0,13.0,48,58,1774.0,0.01289610607241374,0.19344159108620612,False,-0.27442528735632177
iat_15,8.0,18.0,48,38,1188.0,0.013885193600430758,0.20827790400646137,False,-0.30263157894736836
iat_15,8.0,22.0,48,29,1156.0,7.472441100660897e-07,1.1208661650991346e-05,True,-0.6609195402298851
iat_15,8.0,25.0,48,9,379.0,0.00024737174291644676,0.0037105761437467013,True,-0.7546296296296295
iat_15,13.0,18.0,58,38,1139.0,0.7802640837091868,1.0,False,-0.033575317604355615
iat_15,13.0,22.0,58,29,1219.0,0.0004433489554941854,0.006650234332412781,True,-0.4494649227110583
iat_15,13.0,25.0,58,9,398.5,0.00958881423390626,0.1438322135085939,False,-0.5268199233716475
iat_15,18.0,22.0,38,29,800.0,0.0012932610119342077,0.019398915179013116,True,-0.4519056261343013
iat_15,18.0,25.0,38,9,263.0,0.011984543648354865,0.17976815472532298,False,-0.5380116959064327
iat_15,22.0,25.0,29,9,133.0,0.9405756460542477,1.0,False,-0.019157088122605304
iat_2,5.0,8.0,39,48,660.5,0.015286119189537439,0.2292917878430616,False,0.2943376068376068
iat_2,5.0,13.0,39,58,881.5,0.06138346823587339,0.9207520235381008,False,0.2206012378426172
iat_2,5.0,18.0,39,38,783.5,0.6611330716677031,1.0,False,-0.05735492577597845
iat_2,5.0,22.0,39,29,828.5,0.00089248681873422,0.0133873022810133,True,-0.4650751547303271
iat_2,5.0,25.0,39,9,257.5,0.026175942336292588,0.3926391350443888,False,-0.4672364672364673
iat_2,8.0,13.0,48,58,1575.0,0.23425866871562118,1.0,False,-0.13146551724137923
iat_2,8.0,18.0,48,38,1234.0,0.004290794204956143,0.06436191307434214,False,-0.35307017543859653
iat_2,8.0,22.0,48,29,1151.0,1.1427876624073407e-06,1.714181493611011e-05,True,-0.6537356321839081
iat_2,8.0,25.0,48,9,358.0,0.0013941825384512984,0.020912738076769476,True,-0.6574074074074074
iat_2,13.0,18.0,58,38,1379.5,0.033638617394733485,0.5045792609210022,False,-0.2518148820326678
iat_2,13.0,22.0,58,29,1296.5,2.678428579169782e-05,0.00040176428687546727,True,-0.5416171224732462
iat_2,13.0,25.0,58,9,401.0,0.008401367266394805,0.12602050899592207,False,-0.5363984674329503
iat_2,18.0,22.0,38,29,765.5,0.005783836270273721,0.08675754405410581,False,-0.3892921960072595
iat_2,18.0,25.0,38,9,225.0,0.14021875003025086,1.0,False,-0.3157894736842106
iat_2,22.0,25.0,29,9,98.0,0.24985497966061543,1.0,False,0.24904214559386972
pcl5_14,5.0,8.0,39,48,756.0,0.0431790959091293,0.6476864386369395,False,0.1923076923076923
pcl5_14,5.0,13.0,39,58,502.5,3.1526978966562154e-07,4.729046844984323e-06,True,0.5557029177718833
pcl5_14,5.0,18.0,39,38,499.5,0.0022770361044369765,0.03415554156655465,True,0.3259109311740891
pcl5_14,5.0,22.0,39,29,384.0,0.004272427481381628,0.06408641222072442,False,0.32095490716180375
pcl5_14,5.0,25.0,39,9,183.0,0.7623467985036143,1.0,False,-0.042735042735042805
pcl5_14,8.0,13.0,48,58,844.0,0.00017410307274539594,0.0026115460911809393,True,0.3936781609195402
pcl5_14,8.0,18.0,48,38,784.0,0.20054928917244408,1.0,False,0.14035087719298245
pcl5_14,8.0,22.0,48,29,604.0,0.26322410687913467,1.0,False,0.13218390804597702
pcl5_14,8.0,25.0,48,9,266.0,0.17651541769716483,1.0,False,-0.2314814814814814
pcl5_14,13.0,18.0,58,38,1404.0,0.016906309567955892,0.25359464351933836,False,-0.27404718693284935
pcl5_14,13.0,22.0,58,29,1078.0,0.024600102206060247,0.3690015330909037,False,-0.28180737217598106
pcl5_14,13.0,25.0,58,9,412.0,0.0034287663434536017,0.05143149515180403,False,-0.578544061302682
pcl5_14,18.0,22.0,38,29,557.0,0.938468903451881,1.0,False,-0.010889292196007316
pcl5_14,18.0,25.0,38,9,232.5,0.05760507130152595,0.8640760695228893,False,-0.35964912280701755
pcl5_14,22.0,25.0,29,9,177.0,0.06527263835326974,0.979089575299046,False,-0.35632183908045967
iat_11,5.0,8.0,39,48,684.5,0.026406155099946343,0.3960923264991951,False,0.26869658119658124
iat_11,5.0,13.0,39,58,1029.0,0.4468538252637452,1.0,False,0.09018567639257291
iat_11,5.0,18.0,39,38,700.0,0.6695168588469452,1.0,False,0.055330634278002666
iat_11,5.0,22.0,39,29,885.0,4.372923816102733e-05,0.00065593857241541,True,-0.5649867374005304
iat_11,5.0,25.0,39,9,267.0,0.012347478278995185,0.18521217418492777,False,-0.5213675213675213
iat_11,8.0,13.0,48,58,1698.5,0.045704531073581446,0.6855679661037217,False,-0.22018678160919536
iat_11,8.0,18.0,48,38,1141.0,0.04125421294403372,0.6188131941605057,False,-0.2510964912280702
iat_11,8.0,22.0,48,29,1142.0,1.3650251900794087e-06,2.047537785119113e-05,True,-0.6408045977011494
iat_11,8.0,25.0,48,9,342.0,0.004563311497855304,0.06844967246782957,False,-0.5833333333333333
iat_11,13.0,18.0,58,38,1153.5,0.6950150747038133,1.0,False,-0.04673321234119787
iat_11,13.0,22.0,58,29,1310.5,1.354173772620604e-05,0.00020312606589309058,True,-0.5582639714625446
iat_11,13.0,25.0,58,9,366.0,0.047999983952444314,0.7199997592866647,False,-0.4022988505747127
iat_11,18.0,22.0,38,29,861.5,5.689676822020415e-05,0.0008534515233030623,True,-0.5635208711433757
iat_11,18.0,25.0,38,9,253.5,0.024229150127300127,0.3634372519095019,False,-0.48245614035087714
iat_11,22.0,25.0,29,9,75.0,0.04663235756244772,0.6994853634367157,False,0.4252873563218391
iat_10,5.0,8.0,39,48,608.0,0.004060294675845684,0.06090442013768526,False,0.3504273504273504
iat_10,5.0,13.0,39,58,1035.0,0.4726610659451477,1.0,False,0.08488063660477452
iat_10,5.0,18.0,39,38,757.0,0.8723233967357326,1.0,False,-0.021592442645074206
iat_10,5.0,22.0,39,29,810.5,0.001874383234805741,0.028115748522086113,True,-0.43324491600353676
iat_10,5.0,25.0,39,9,282.0,0.003994917963284636,0.05992376944926954,False,-0.6068376068376069
iat_10,8.0,13.0,48,58,1819.0,0.005230686302632681,0.07846029453949022,False,-0.30675287356321834
iat_10,8.0,18.0,48,38,1222.0,0.005714713236633319,0.08572069854949978,False,-0.3399122807017543
iat_10,8.0,22.0,48,29,1153.0,8.632440800572221e-07,1.2948661200858332e-05,True,-0.6566091954022988
iat_10,8.0,25.0,48,9,376.5,0.00028057343971412644,0.004208601595711897,True,-0.7430555555555556
iat_10,13.0,18.0,58,38,1154.5,0.689744586424881,1.0,False,-0.04764065335753176
iat_10,13.0,22.0,58,29,1176.5,0.001696346316757675,0.025445194751365127,True,-0.3989298454221166
iat_10,13.0,25.0,58,9,395.5,0.010413055753076198,0.15619583629614298,False,-0.5153256704980842
iat_10,18.0,22.0,38,29,776.0,0.003596542479300464,0.053948137189506966,False,-0.40834845735027225
iat_10,18.0,25.0,38,9,263.5,0.011197149316025199,0.167957239740378,False,-0.5409356725146199
iat_10,22.0,25.0,29,9,147.0,0.5533222912416509,1.0,False,-0.12643678160919536
swls_1,5.0,8.0,39,48,837.0,0.3912782692348198,1.0,False,0.10576923076923073
swls_1,5.0,13.0,39,58,966.5,0.21645649609781037,1.0,False,0.14544650751547306
swls_1,5.0,18.0,39,38,622.5,0.21920624034453107,1.0,False,0.15991902834008098
swls_1,5.0,22.0,39,29,230.0,2.370036938312335e-05,0.00035550554074685023,True,0.5932802829354553
swls_1,5.0,25.0,39,9,16.5,1.6857046647672326e-05,0.0002528556997150849,True,0.905982905982906
swls_1,8.0,13.0,48,58,1325.0,0.6686768138975832,1.0,False,0.04813218390804597
swls_1,8.0,18.0,48,38,832.5,0.48609884321072294,1.0,False,0.08717105263157898
swls_1,8.0,22.0,48,29,319.0,6.187383041586504e-05,0.0009281074562379756,True,0.5416666666666667
swls_1,8.0,25.0,48,9,28.5,3.446836371145366e-05,0.0005170254556718048,True,0.8680555555555556
swls_1,13.0,18.0,58,38,1080.0,0.8701018534523518,1.0,False,0.019963702359346636
swls_1,13.0,22.0,58,29,471.5,0.0007012511063901153,0.01051876659585173,True,0.43935790725326995
swls_1,13.0,25.0,58,9,71.5,0.0003956309805398557,0.005934464708097835,True,0.7260536398467433
swls_1,18.0,22.0,38,29,315.0,0.002343608923446262,0.03515413385169393,True,0.4283121597096189
swls_1,18.0,25.0,38,9,44.5,0.0005285212560739841,0.007927818841109761,True,0.739766081871345
swls_1,22.0,25.0,29,9,96.0,0.18519721531844047,1.0,False,0.26436781609195403
audit_10,5.0,8.0,39,48,1332.0,7.768237522876616e-05,0.0011652356284314923,True,-0.42307692307692313
audit_10,5.0,13.0,39,58,1740.0,7.331736868887348e-08,1.0997605303331023e-06,True,-0.5384615384615385
audit_10,5.0,18.0,39,38,1017.0,0.0017272304654502902,0.025908456981754355,True,-0.3724696356275303
audit_10,5.0,22.0,39,29,793.5,0.0021174790772294084,0.031762186158441126,True,-0.403183023872679
audit_10,5.0,25.0,39,9,235.5,0.09342179784677093,1.0,False,-0.3418803418803418
audit_10,8.0,13.0,48,58,1461.0,0.4848387490216538,1.0,False,-0.049568965517241326
audit_10,8.0,18.0,48,38,839.0,0.37387611448576463,1.0,False,0.08004385964912286
audit_10,8.0,22.0,48,29,607.0,0.20821586022841942,1.0,False,0.12787356321839083
audit_10,8.0,25.0,48,9,170.0,0.16139206342344725,1.0,False,0.2129629629629629
audit_10,13.0,18.0,58,38,939.0,0.07327537414609327,1.0,False,0.147912885662432
audit_10,13.0,22.0,58,29,657.0,0.018850166441621755,0.28275249662432633,False,0.21878715814506544
audit_10,13.0,25.0,58,9,177.0,0.021156192407926717,0.31734288611890077,False,0.32183908045977017
audit_10,18.0,22.0,38,29,531.0,0.758341259760818,1.0,False,0.0362976406533575
audit_10,18.0,25.0,38,9,150.0,0.4904248573982506,1.0,False,0.1228070175438597
audit_10,22.0,25.0,29,9,117.5,0.6075929034132415,1.0,False,0.09961685823754785
swls_5,5.0,8.0,39,48,840.5,0.4077389106206585,1.0,False,0.1020299145299145
swls_5,5.0,13.0,39,58,987.0,0.28305202663520757,1.0,False,0.12732095490716178
swls_5,5.0,18.0,39,38,592.0,0.12461994488034273,1.0,False,0.20107962213225372
swls_5,5.0,22.0,39,29,253.0,7.532941914431983e-05,0.0011299412871647976,True,0.5526083112290009
swls_5,5.0,25.0,39,9,2.5,3.5470911171735703e-06,5.3206366757603554e-05,True,0.9857549857549858
swls_5,8.0,13.0,48,58,1332.5,0.7045033977804602,1.0,False,0.042744252873563204
swls_5,8.0,18.0,48,38,808.5,0.36368612484379625,1.0,False,0.11348684210526316
swls_5,8.0,22.0,48,29,352.0,0.00023698562174653752,0.003554784326198063,True,0.49425287356321834
swls_5,8.0,25.0,48,9,5.5,3.099771203547903e-06,4.649656805321855e-05,True,0.9745370370370371
swls_5,13.0,18.0,58,38,1049.5,0.6934818495613433,1.0,False,0.04764065335753176
swls_5,13.0,22.0,58,29,513.5,0.0026632273559884802,0.039948410339827205,True,0.38941736028537455
swls_5,13.0,25.0,58,9,55.5,0.00012245241218444074,0.001836786182766611,True,0.7873563218390804
swls_5,18.0,22.0,38,29,376.0,0.024378351818772806,0.3656752772815921,False,0.3176043557168784
swls_5,18.0,25.0,38,9,39.0,0.0002751072390231713,0.004126608585347569,True,0.7719298245614035
swls_5,22.0,25.0,29,9,61.0,0.009769790544637185,0.14654685816955776,False,0.5325670498084292
pcl5_5,5.0,8.0,39,48,991.5,0.5410445391327152,1.0,False,-0.059294871794871806
pcl5_5,5.0,13.0,39,58,556.5,6.0869667968327585e-06,9.130450195249138e-05,True,0.5079575596816976
pcl5_5,5.0,18.0,39,38,538.5,0.018681438185555812,0.2802215727833372,False,0.2732793522267206
pcl5_5,5.0,22.0,39,29,481.5,0.21704871584767382,1.0,False,0.14854111405835546
pcl5_5,5.0,25.0,39,9,171.0,0.8953182128916175,1.0,False,0.02564102564102566
pcl5_5,8.0,13.0,48,58,698.5,1.5484531248473973e-06,2.322679687271096e-05,True,0.49820402298850575
pcl5_5,8.0,18.0,48,38,643.0,0.0057459035512426575,0.08618855326863986,False,0.29495614035087714
pcl5_5,8.0,22.0,48,29,563.5,0.08412033927429172,1.0,False,0.19037356321839083
pcl5_5,8.0,25.0,48,9,198.0,0.60992999617605,1.0,False,0.08333333333333337
pcl5_5,13.0,18.0,58,38,1343.0,0.05881679026648281,0.8822518539972422,False,-0.2186932849364791
pcl5_5,13.0,22.0,58,29,1124.5,0.007253300443957117,0.10879950665935675,False,-0.3370986920332937
pcl5_5,13.0,25.0,58,9,390.0,0.013614823910416364,0.20422235865624547,False,-0.49425287356321834
pcl5_5,18.0,22.0,38,29,614.5,0.3798635911816667,1.0,False,-0.11524500907441015
pcl5_5,18.0,25.0,38,9,214.5,0.2018292141798551,1.0,False,-0.2543859649122806
pcl5_5,22.0,25.0,29,9,147.0,0.5267796093357722,1.0,False,-0.12643678160919536
who5_5,5.0,8.0,39,48,880.0,0.625479120503617,1.0,False,0.05982905982905984
who5_5,5.0,13.0,39,58,1003.0,0.32680765662118316,1.0,False,0.11317418213969943
who5_5,5.0,18.0,39,38,567.0,0.06477802296268267,0.9716703444402401,False,0.23481781376518218
who5_5,5.0,22.0,39,29,220.0,8.157032121035666e-06,0.000122355481815535,True,0.6109637488947834
who5_5,5.0,25.0,39,9,45.5,0.0003695426131311892,0.005543139196967838,True,0.7407407407407407
who5_5,8.0,13.0,48,58,1346.0,0.7657939398880087,1.0,False,0.033045977011494254
who5_5,8.0,18.0,48,38,772.0,0.21113101892214559,1.0,False,0.1535087719298246
who5_5,8.0,22.0,48,29,370.0,0.0004161653921173074,0.006242480881759611,True,0.4683908045977011
who5_5,8.0,25.0,48,9,77.0,0.0018149165802074734,0.027223748703112102,True,0.6435185185185186
who5_5,13.0,18.0,58,38,940.0,0.2058222071411,1.0,False,0.147005444646098
who5_5,13.0,22.0,58,29,371.0,1.0058286282353546e-05,0.00015087429423530317,True,0.558858501783591
who5_5,13.0,25.0,58,9,68.5,0.00024025952899954913,0.003603892934993237,True,0.7375478927203065
who5_5,18.0,22.0,38,29,350.0,0.007686290984679343,0.11529436477019014,False,0.3647912885662432
who5_5,18.0,25.0,38,9,71.5,0.004864467674075881,0.07296701511113822,False,0.5818713450292398
who5_5,22.0,25.0,29,9,85.5,0.09707717134012644,1.0,False,0.3448275862068966
iat_17,5.0,8.0,39,48,616.5,0.004828175585934519,0.0724226337890178,False,0.34134615384615385
iat_17,5.0,13.0,39,58,925.0,0.12216759440637147,1.0,False,0.18213969938107866
iat_17,5.0,18.0,39,38,666.5,0.43780700451519705,1.0,False,0.10053981106612686
iat_17,5.0,22.0,39,29,770.0,0.009665756429340935,0.14498634644011404,False,-0.3616268788682582
iat_17,5.0,25.0,39,9,276.5,0.006321654180705044,0.09482481271057566,False,-0.5754985754985755
iat_17,8.0,13.0,48,58,1598.0,0.18023080963681648,1.0,False,-0.1479885057471264
iat_17,8.0,18.0,48,38,1118.0,0.06543813435202986,0.9815720152804479,False,-0.22587719298245612
iat_17,8.0,22.0,48,29,1151.0,1.1239535348988565e-06,1.6859303023482848e-05,True,-0.6537356321839081
iat_17,8.0,25.0,48,9,394.0,6.558880965289559e-05,0.0009838321447934338,True,-0.8240740740740742
iat_17,13.0,18.0,58,38,1184.0,0.5306904575236988,1.0,False,-0.074410163339383
iat_17,13.0,22.0,58,29,1209.0,0.0006502858850665884,0.009754288275998826,True,-0.4375743162901309
iat_17,13.0,25.0,58,9,416.0,0.0033674188111145523,0.05051128216671828,False,-0.5938697318007662
iat_17,18.0,22.0,38,29,773.5,0.004155102907054052,0.062326543605810775,False,-0.4038112522686026
iat_17,18.0,25.0,38,9,271.0,0.006049617678737229,0.09074426518105844,False,-0.5847953216374269
iat_17,22.0,25.0,29,9,155.5,0.3713941742774327,1.0,False,-0.1915708812260537
dast_6,5.0,8.0,39,48,760.5,0.004634985887089435,0.06952478830634153,False,0.1875
dast_6,5.0,13.0,39,58,585.0,3.163967188828679e-07,4.745950783243019e-06,True,0.48275862068965514
dast_6,5.0,18.0,39,38,409.5,2.6794926287009438e-06,4.019238943051416e-05,True,0.4473684210526315
dast_6,5.0,22.0,39,29,331.5,1.1615403446705551e-05,0.00017423105170058327,True,0.4137931034482759
dast_6,5.0,25.0,39,9,97.5,1.908451706446096e-05,0.0002862677559669144,True,0.4444444444444444
dast_6,8.0,13.0,48,58,981.0,0.0016018496221569657,0.024027744332354484,True,0.29525862068965514
dast_6,8.0,18.0,48,38,675.0,0.009731960162409233,0.1459794024361385,False,0.2598684210526315
dast_6,8.0,22.0,48,29,538.5,0.03239484723573677,0.4859227085360515,False,0.2262931034482759
dast_6,8.0,25.0,48,9,160.5,0.09773226037128692,1.0,False,0.2569444444444444
dast_6,13.0,18.0,58,38,1141.0,0.7386064244163962,1.0,False,-0.03539019963702361
dast_6,13.0,22.0,58,29,899.0,0.548686769660704,1.0,False,-0.06896551724137923
dast_6,13.0,25.0,58,9,271.0,0.8400148951576916,1.0,False,-0.03831417624521083
dast_6,18.0,22.0,38,29,569.5,0.7907051228272295,1.0,False,-0.033575317604355615
dast_6,18.0,25.0,38,9,171.5,1.0,1.0,False,-0.0029239766081872176
dast_6,22.0,25.0,29,9,126.5,0.8882825888376812,1.0,False,0.03065134099616862
pgsi_1,5.0,8.0,39,48,1143.5,0.059774256031833534,0.896613840477503,False,-0.2216880341880343
pgsi_1,5.0,13.0,39,58,1694.5,1.9286795637886533e-06,2.89301934568298e-05,True,-0.49823165340406717
pgsi_1,5.0,18.0,39,38,1018.0,0.002319193788270782,0.034787906824061736,True,-0.3738191632928476
pgsi_1,5.0,22.0,39,29,874.0,2.7038754099777988e-05,0.00040558131149666984,True,-0.5455349248452697
pgsi_1,5.0,25.0,39,9,270.0,0.008582291159997077,0.12873436739995614,False,-0.5384615384615385
pgsi_1,8.0,13.0,48,58,1792.0,0.002153111076599265,0.032296666148988976,True,-0.28735632183908044
pgsi_1,8.0,18.0,48,38,1052.5,0.16915278827214064,1.0,False,-0.1540570175438596
pgsi_1,8.0,22.0,48,29,922.0,0.0057476622630040315,0.08621493394506047,False,-0.3247126436781609
pgsi_1,8.0,25.0,48,9,284.0,0.0981279923409861,1.0,False,-0.3148148148148149
pgsi_1,13.0,18.0,58,38,945.5,0.12877024384197863,1.0,False,0.1420145190562614
pgsi_1,13.0,22.0,58,29,856.0,0.8531944665771078,1.0,False,-0.017835909631391145
pgsi_1,13.0,25.0,58,9,262.0,0.9896533731171707,1.0,False,-0.003831417624521105
pgsi_1,18.0,22.0,38,29,643.5,0.1408163647244912,1.0,False,-0.16787658802177852
pgsi_1,18.0,25.0,38,9,197.5,0.3929030156594956,1.0,False,-0.1549707602339181
pgsi_1,22.0,25.0,29,9,128.5,0.94187651467601,1.0,False,0.01532567049808431
pgsi_9,5.0,8.0,39,48,1195.5,0.0172615409488182,0.258923114232273,False,-0.27724358974358965
pgsi_9,5.0,13.0,39,58,1704.5,1.0162133796520522e-06,1.5243200694780782e-05,True,-0.5070733863837311
pgsi_9,5.0,18.0,39,38,1036.0,0.0009554302997638914,0.014331454496458371,True,-0.3981106612685561
pgsi_9,5.0,22.0,39,29,865.0,4.450261399158274e-05,0.0006675392098737411,True,-0.5296198054818744
pgsi_9,5.0,25.0,39,9,267.0,0.010794942431408034,0.16192413647112053,False,-0.5213675213675213
pgsi_9,8.0,13.0,48,58,1719.5,0.008834391001892806,0.13251586502839208,False,-0.23527298850574718
pgsi_9,8.0,18.0,48,38,1030.5,0.22149590907353844,1.0,False,-0.1299342105263157
pgsi_9,8.0,22.0,48,29,866.5,0.031080179964413656,0.46620269946620485,False,-0.24497126436781613
pgsi_9,8.0,25.0,48,9,266.5,0.20413793707481842,1.0,False,-0.23379629629629628
pgsi_9,13.0,18.0,58,38,995.5,0.2715526654872975,1.0,False,0.09664246823956446
pgsi_9,13.0,22.0,58,29,835.5,0.9479178237477899,1.0,False,0.006539833531510109
pgsi_9,13.0,25.0,58,9,255.5,0.8936845541813019,1.0,False,0.021072796934865856
pgsi_9,18.0,22.0,38,29,606.0,0.35538247187512917,1.0,False,-0.09981851179673318
pgsi_9,18.0,25.0,38,9,186.0,0.6083252663492301,1.0,False,-0.08771929824561409
pgsi_9,22.0,25.0,29,9,128.5,0.94187651467601,1.0,False,0.01532567049808431
audit_3,5.0,8.0,39,48,1336.5,0.0004010759587123839,0.006016139380685759,True,-0.4278846153846154
audit_3,5.0,13.0,39,58,1800.0,1.434867172124902e-07,2.1523007581873532e-06,True,-0.5915119363395225
audit_3,5.0,18.0,39,38,970.5,0.015863592567608113,0.2379538885141217,False,-0.3097165991902835
audit_3,5.0,22.0,39,29,844.5,0.0003732463953221303,0.005598695929831955,True,-0.49336870026525204
audit_3,5.0,25.0,39,9,252.0,0.038788315125224765,0.5818247268783715,False,-0.4358974358974359
audit_3,8.0,13.0,48,58,1726.5,0.018648787128481135,0.27973180692721705,False,-0.24030172413793105
audit_3,8.0,18.0,48,38,816.0,0.3799090490434698,1.0,False,0.10526315789473684
audit_3,8.0,22.0,48,29,706.0,0.9151163538092498,1.0,False,-0.014367816091954033
audit_3,8.0,25.0,48,9,193.5,0.6080823535860223,1.0,False,0.10416666666666663
audit_3,13.0,18.0,58,38,752.0,0.0037738468333516607,0.05660770250027491,False,0.3176043557168784
audit_3,13.0,22.0,58,29,655.0,0.05882431708570337,0.8823647562855506,False,0.2211652794292509
audit_3,13.0,25.0,58,9,172.5,0.06283934957141017,0.9425902435711526,False,0.3390804597701149
audit_3,18.0,22.0,38,29,624.5,0.33001284273056264,1.0,False,-0.13339382940108901
audit_3,18.0,25.0,38,9,177.0,0.8764503890348974,1.0,False,-0.03508771929824572
audit_3,22.0,25.0,29,9,115.5,0.595079097621138,1.0,False,0.11494252873563215
swls_3,5.0,8.0,39,48,759.0,0.11190360645538779,1.0,False,0.1891025641025641
swls_3,5.0,13.0,39,58,951.5,0.16927452240958507,1.0,False,0.1587091069849691
swls_3,5.0,18.0,39,38,498.0,0.008608189957208932,0.12912284935813398,False,0.32793522267206476
swls_3,5.0,22.0,39,29,237.0,2.849587359551718e-05,0.00042743810393275773,True,0.5809018567639257
swls_3,5.0,25.0,39,9,43.5,0.00027230952750101404,0.00408464291251521,True,0.7521367521367521
swls_3,8.0,13.0,48,58,1402.5,0.9477608103602964,1.0,False,-0.007543103448275801
swls_3,8.0,18.0,48,38,750.5,0.14543420715102917,1.0,False,0.17708333333333337
swls_3,8.0,22.0,48,29,339.0,0.000127639873934451,0.0019145981090167652,True,0.5129310344827587
swls_3,8.0,25.0,48,9,68.5,0.0009017871350151833,0.013526807025227749,True,0.6828703703703703
swls_3,13.0,18.0,58,38,917.5,0.15461824303824517,1.0,False,0.16742286751361157
swls_3,13.0,22.0,58,29,459.0,0.0004577324817934991,0.006865987226902487,True,0.45422116527942924
swls_3,13.0,25.0,58,9,104.5,0.0034060326973084755,0.05109049045962713,False,0.5996168582375478
swls_3,18.0,22.0,38,29,380.5,0.02527653788944457,0.37914806834166853,False,0.30943738656987296
swls_3,18.0,25.0,38,9,94.0,0.031880629178753755,0.4782094376813063,False,0.45029239766081874
swls_3,22.0,25.0,29,9,123.5,0.8055052188241826,1.0,False,0.05363984674329503
dast_8,5.0,8.0,39,48,774.0,0.03515021820151034,0.5272532730226551,False,0.17307692307692313
dast_8,5.0,13.0,39,58,594.0,2.0824814671962607e-06,3.123722200794391e-05,True,0.4748010610079576
